ComponentName,ElementId,Type,Path,Status,Purpose,Props,CommonIssues,Tips,Keywords
main-menu,main-menu,Core,public/elements/main-menu,OK,Displays hierarchical navigation menu with card status indicators,element|onError,FIXED: Added title card styling,Always implement proper title styling; Use contrast colors; Has search functionality,menu navigation hierarchy status-indicator search
system-status,system-status,Core,public/elements/system-status,OK,Shows system metrics and health status,element,FIXED: Added white background for text contrast,Ensure text color contrasts with background; Use color:#333 with background:#fff,status metrics health contrast logs
system-log,system-log,Core,public/elements/system-log,OK,Displays system logs with filtering,element,None,Use virtualization for large log lists,logs filtering search
help-viewer,help-viewer,Core,public/elements/help-viewer,OK,Renders markdown help documentation,url|element,None,Use markdown-it for rendering; Cache parsed content,markdown help documentation viewer
markdown-viewer,markdown-viewer,Core,public/elements/markdown-viewer,OK,Generic markdown content viewer,url|element,None,Reuse help-viewer patterns; Support TOC generation,markdown content viewer
event-stream,event-stream,Core,public/elements/event-stream,OK,Real-time event stream display,element,None,Use WebSocket or SSE; Buffer events for performance,events realtime stream websocket
memory-explorer,memory-explorer,Core,public/elements/memory-explorer,OK,Memory usage visualization and analysis,element,None,Use uPlot for charts; Group by categories,memory metrics visualization analysis
site-settings,site-settings,Core,public/elements/site-settings,OK,Site configuration management,element,Placeholder - shows pending banner,Use form validation; Save to config/settings.json,settings configuration admin
nodes-manager,nodes-manager,Core,public/elements/nodes-manager,OK,Cluster node management interface,url|element,Placeholder implementation,Handle ?action=add parameter; Show node health,nodes cluster management distributed
card-validation,card-validation,Core,public/elements/card-validation,OK,Validates card structure and components,url|element,Placeholder implementation,Check component.js existence; Validate endpoint security.json,validation testing qa
job-status,job-status,Core,public/elements/job-status,OK,Displays job execution status,url|element,Placeholder implementation,Handle ?jobId parameter; Poll for status updates,jobs status monitoring async
header-icon,header-icon,Core,public/elements/header-icon,OK,Manages header toolbar icons,url|element,Placeholder implementation,Use icon sprite sheets; Handle click actions,icons toolbar header ui
admin,admin,Core,public/elements/admin,OK,System administration dashboard,url|element,Placeholder - created 2026-02-23,Handle ?section parameter; Show user/role/system sections,admin dashboard system management
role-management,role-management,Core,routes/cards/admin/role-management,OK,User role assignment interface,element,None,Load from PSWeb_Roles table; Use dropdowns for selection,roles permissions admin users
users-management,users-management,Core,routes/cards/admin/users-management,OK,User account management,element,None,CRUD operations on PSWeb_Users; Hash passwords,users accounts admin management
docker-manager,docker-manager,App,apps/DockerManager,OK,Docker container management,element,None,Use Docker API; Show container status; Handle logs streaming,docker containers orchestration devops
kubernetes-status,kubernetes-status,App,apps/KubernetesManager/public/elements/kubernetes-status,Placeholder,Kubernetes cluster status display,element,Placeholder - created 2026-02-23,Query kubectl; Show pod/node status; Handle ?cluster parameter,kubernetes k8s cluster pods nodes
linux-cron,linux-cron,App,apps/LinuxAdmin/public/elements/linux-cron,Placeholder,Linux cron job editor,element,Placeholder - created 2026-02-23,Parse crontab format; Validate expressions; Handle ?user parameter,linux cron scheduler jobs
linux-services,linux-services,App,apps/LinuxAdmin/public/elements/linux-services,Placeholder,Systemd service management,element,Placeholder - created 2026-02-23,Use systemctl commands; Show service status; Handle ?filter parameter,linux systemd services systemctl
mysql-manager,mysql-manager,App,apps/MySQLManager/public/elements/mysql-manager,Placeholder,MySQL database management,element,Placeholder - created 2026-02-23,Use mysql2 library; Show tables/queries; Handle ?db parameter,mysql database sql mariadb
redis-manager,redis-manager,App,apps/RedisManager/public/elements/redis-manager,Placeholder,Redis key-value store management,element,Placeholder - created 2026-02-23,Use redis client; Show keys/values; Handle ?instance parameter,redis cache database memcached
sqlite-manager,sqlite-manager,App,apps/SQLiteManager/public/elements/sqlite-manager,OK,SQLite database browser,element,FIXED: Route scriptPath corrected 2026-02-24,Use sqlite3; Show schema/data; Handle ?file parameter; Route points to app folder,sqlite database sql embedded
apps-manager,apps-manager,App,apps/WebHostAppManager/public/elements/apps-manager,Placeholder,PSWebHost app installation manager,element,Placeholder - created 2026-02-23,Load app.yaml; Handle enable/disable; Handle ?action parameter,apps plugins modules extensions
wsl-manager,wsl-manager,App,apps/WSLManager/public/elements/wsl-manager,Placeholder,Windows Subsystem for Linux manager,element,Placeholder - created 2026-02-23,Use wsl.exe commands; Show distros; Handle ?distro parameter,wsl windows linux subsystem
world-map,world-map,App,apps/Maps,OK,Interactive world map visualization,element,None,Use Leaflet.js; Support markers/tooltips,map geo location visualization
area-chart,area-chart,App,apps/UI_Uplot,OK,Area chart using uPlot,element,None,Pass series data; Set axes labels,chart visualization uplot timeseries
bar-chart,bar-chart,App,apps/UI_Uplot,OK,Bar chart using uPlot,element,None,Use bars plugin; Support stacked mode,chart visualization uplot bars categories
heatmap,heatmap,App,apps/UI_Uplot,OK,Heatmap visualization,element,None,Use matrix data; Set color scale,heatmap visualization matrix temperature
metrics-chart,metrics-chart,App,apps/UI_Uplot,OK,Time-series metrics chart,element,None,Auto-refresh data; Support multiple series; DuckDB WASM integration,metrics timeseries chart performance duckdb
debug-console,debug-console,App,apps/WebHostDebugExtensions,OK,Browser JavaScript execution console,element,None,Use eval with try-catch; Show errors in red,debug console javascript eval repl
debug-variables,debug-variables,App,apps/WebHostDebugExtensions,OK,Browser variable inspector,element,None,Walk window object; Use JSON.stringify,debug variables inspector devtools
file-explorer,file-explorer,App,apps/WebhostFileExplorer,OK,File system browser and editor,element,None,Use recursive directory listing; Validate paths; Support upload/download,files explorer browser editor upload
sqlite-query-editor,sqlite-query-editor,App,apps/SQLiteManager,OK,SQL query execution interface,element,None,Support syntax highlighting; Handle large result sets,sqlite sql query editor ide
sqlserver-manager,sqlserver-manager,App,apps/SQLServer,OK,SQL Server database management,element,None,Use mssql library; Handle multiple databases,sqlserver mssql database enterprise
dockermanager-home,dockermanager-home,App,apps/DockerManager,OK,Docker Manager landing page,element,None,Show container summary; Quick actions,docker home landing dashboard
kubernetesmanager-home,kubernetesmanager-home,App,apps/KubernetesManager,OK,Kubernetes Manager landing page,element,None,Show cluster overview; Health status,kubernetes home landing dashboard
linuxadmin-home,linuxadmin-home,App,apps/LinuxAdmin,OK,Linux Admin landing page,element,None,Show system overview; Quick admin links,linux home landing dashboard admin
server-heatmap,server-heatmap,App,apps/WebHostMetrics/public/elements/server-heatmap,OK,Server performance heatmap visualization,element,None,CPU/Memory/Disk/Network metrics; Use ?history=N for aggregated data,metrics heatmap server performance monitoring
unit-test-runner,unit-test-runner,App,apps/UnitTests/public/elements/unit-test-runner,OK,PowerShell Pester test runner interface,element,None,Run Pester tests; Display results; Handle ?filter parameter,tests pester unit testing runner
vault-manager,vault-manager,App,apps/vault/public/elements/vault-manager,OK,Secure credentials and secrets manager,element,None,Encrypt/decrypt secrets; Manage vault entries,security vault secrets credentials
text-editor,text-editor,App,apps/WebhostFileExplorer/public/elements/text-editor,OK,In-browser text file editor,element,None,Syntax highlighting; Save to server; Handle ?file parameter,editor text code files
hex-editor,hex-editor,App,apps/WebhostFileExplorer/public/elements/hex-editor,OK,Binary file hex viewer/editor,element,None,Show hex dump; Edit binary data; Handle ?file parameter,hex binary editor files
